Sas,kara~ke
1,0
20,0
2,ni
#2,ki
#2,ku
#2,ni
#2,lanu
#2,guriMci
3,wo
4,kosam
4,koraku
5,valana
#(nI prayawnaM batti PaliwaM uMtuMxi.)
5,batti
5,kaMteV
6,ki
6,ku
6,yoVkka
6,lo
6,lopala
7,aMxu
#7,na      (uwwarAna himAlayAlu unnAyi.)
7,na
8,0
karmaNi_lat,a_badu_wunn
karmaNi_lat_sma,a_badu_e
karmaNi_lut,a_badu_wA
karmaNi_laf,a_badu_A
karmaNi_lot,a_badu_a_ivvu
karmaNi_lqt,a_badu_wA
## lqf is causal
karmaNi_lqf,a_badu_i_uMdu_i_uMdu_e    
karmaNi_luf,a_badu_A
###  For BAve, use karwarI in Telugu
BAve_lat,wunn
BAve_lat_sma,e
BAve_lut,wA
BAve_laf,A
BAve_lot,a_ivvu
BAve_lqt,wA
BAve_lqf,i_uMdu_i_uMdu_e
karwari_laf,A
karwari_luf,A
karwari_lqf,i_uMdu_i_uMdu_e
karwari_lat_sma,i_po_e
#Sawq_lat,wU 
###   All tenses with Sawq are same in Telugu
Sawq_lat,wU
Sawq_lat_adv,wU
Sawq_laf,wU
Sawq_luf,wU
Sawq_lit,wU
Sawq_lut,wU
Sawq_lqt,e_appudu
Sawq_ASIrlif,u_gAka
karwari_lat,wunn
karwari_lit,A
karwari_lot,a_ivvu
karwari_lut,wA
karwari_lqt,wA
karwari_viXilif,Ali
karwari_ASIrlif,u_gAka
kwvA,i
lyap,i
kwa,a_badu_ina
kwa_fin,a_badu_A
kwavawu,A
kwavawu_fin,A
Sawq,wU
mawup,vaMwudu/maMwudu
wasil,nuMdi
wal,0
SAnac,wU
SAnac_lat,wU
wumun,adaM_ki
wumunkI,adaM_ki
wumun0,adaM_ki
wumun_nA,adaM_ki
wqc,0
lyut,adaM
lyut_2,adaM_ni
lyut_3,adaM_wo
lyut_4ke_liye,adaM_kosaM
lyut_5,adaM_valla
lyut_6,adaM
lyut_7,adaM_lo
anIyar,a_badu_Ali
wavyaw,a_badu_Ali
BAve_lat,wunn
